Attaching 5 probes...
event,ns,tid,note
load,111372589210,36738,vcpu=1 cpu=302 ap1r0=ffffffff00000000 (shadow already dirty)
load,111372602660,36737,vcpu=0 cpu=290 ap1r0=700000000 (shadow already dirty)
put,111380321550,36738,vcpu=1 cpu=296 ap1r0=100000 ap1r1=0
put,111380421160,36737,vcpu=0 cpu=290 ap1r0=100000 ap1r1=0
load,111381218750,36738,vcpu=1 cpu=296 ap1r0=100000 (shadow already dirty)
load,111381226200,36737,vcpu=0 cpu=290 ap1r0=100000 (shadow already dirty)
put,111381238660,36737,vcpu=0 cpu=290 ap1r0=100000 ap1r1=0
load,111381242800,36737,vcpu=0 cpu=290 ap1r0=100000 (shadow already dirty)
put,111381502240,36737,vcpu=0 cpu=290 ap1r0=100000 ap1r1=0
put,111381525840,36738,vcpu=1 cpu=296 ap1r0=100000 ap1r1=0
load,111382177910,36737,vcpu=0 cpu=290 ap1r0=100000 (shadow already dirty)
put,111382330510,36737,vcpu=0 cpu=290 ap1r0=100000 ap1r1=0
load,111382707400,36738,vcpu=1 cpu=296 ap1r0=100000 (shadow already dirty)
load,111383073300,36737,vcpu=0 cpu=290 ap1r0=100000 (shadow already dirty)
put,111383116130,36738,vcpu=1 cpu=296 ap1r0=100000 ap1r1=0
put,111383367200,36737,vcpu=0 cpu=290 ap1r0=100000 ap1r1=0
load,111383841290,36738,vcpu=1 cpu=296 ap1r0=100000 (shadow already dirty)
put,111384192890,36738,vcpu=1 cpu=296 ap1r0=100000 ap1r1=0
load,111384329240,36737,vcpu=0 cpu=290 ap1r0=100000 (shadow already dirty)
put,111384643350,36737,vcpu=0 cpu=290 ap1r0=100000 ap1r1=0
load,111384929180,36738,vcpu=1 cpu=296 ap1r0=100000 (shadow already dirty)
load,111385372770,36737,vcpu=0 cpu=290 ap1r0=100000 (shadow already dirty)
put,111386334920,36738,vcpu=1 cpu=296 ap1r0=100000 ap1r1=0
put,111386356760,36737,vcpu=0 cpu=290 ap1r0=100000 ap1r1=0
load,111386672480,36738,vcpu=1 cpu=296 ap1r0=100000 (shadow already dirty)
load,111386684180,36737,vcpu=0 cpu=290 ap1r0=100000 (shadow already dirty)
put,111386812290,36737,vcpu=0 cpu=290 ap1r0=100000 ap1r1=0
load,111386817940,36737,vcpu=0 cpu=290 ap1r0=100000 (shadow already dirty)
put,111386903350,36737,vcpu=0 cpu=290 ap1r0=100000 ap1r1=0
load,111386907300,36737,vcpu=0 cpu=290 ap1r0=100000 (shadow already dirty)
