Attaching 5 probes...
event,ns,tid,note
load,197704674759070,791170,vcpu=0 cpu=314 ap1r0=700000000 (shadow already dirty)
load,197704674775440,791171,vcpu=1 cpu=313 ap1r0=ffffffff00000000 (shadow already dirty)
put,197704674786700,791171,vcpu=1 cpu=313 ap1r0=8000000000000000 ap1r1=0
load,197704675074110,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197704676019830,791170,vcpu=0 cpu=313 ap1r0=100000 ap1r1=0
load,197704676169680,791170,vcpu=0 cpu=313 ap1r0=100000 (shadow already dirty)
put,197704676978750,791170,vcpu=0 cpu=313 ap1r0=100000 ap1r1=0
load,197704676988010,791170,vcpu=0 cpu=313 ap1r0=100000 (shadow already dirty)
put,197704677076830,791170,vcpu=0 cpu=313 ap1r0=100000 ap1r1=0
load,197704677083690,791170,vcpu=0 cpu=313 ap1r0=100000 (shadow already dirty)
put,197704679175820,791170,vcpu=0 cpu=313 ap1r0=100000 ap1r1=0
load,197704679182170,791170,vcpu=0 cpu=313 ap1r0=100000 (shadow already dirty)
put,197704679218420,791170,vcpu=0 cpu=313 ap1r0=100000 ap1r1=0
load,197704679224520,791170,vcpu=0 cpu=313 ap1r0=100000 (shadow already dirty)
put,197704681405840,791170,vcpu=0 cpu=313 ap1r0=100000 ap1r1=0
load,197704681412260,791170,vcpu=0 cpu=313 ap1r0=100000 (shadow already dirty)
put,197704681444620,791170,vcpu=0 cpu=313 ap1r0=100000 ap1r1=0
load,197704681450900,791170,vcpu=0 cpu=313 ap1r0=100000 (shadow already dirty)
put,197704681461030,791170,vcpu=0 cpu=313 ap1r0=100000 ap1r1=0
load,197704681467420,791170,vcpu=0 cpu=313 ap1r0=100000 (shadow already dirty)
put,197705024015700,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197705024037460,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197705508014910,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197705508188040,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197705580008810,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197705580049190,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197705676010350,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197705676049270,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197705948291490,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197705948307960,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197706414410340,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197706414417480,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197706508012620,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197706508285920,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197706620010150,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197706620047600,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197706676009610,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197706676048740,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197706716007520,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197706716017000,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197707216010370,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197707216056740,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197707540010590,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197707540116320,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197707620011640,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197707620062010,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197707676011710,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197707676049150,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197707740009200,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197707740020110,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197708580009100,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197708580092260,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197708608010180,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197708608045570,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197708676008430,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197708676043820,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197708732005920,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197708732014550,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197709584011290,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197709584068890,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197709624009260,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197709624046850,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197709640009060,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197709640044350,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197709676009230,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197709676045670,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197709700010030,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197709700045640,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197709724006130,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197709724014290,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197709804008420,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197709804053910,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197709808009630,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197709808115390,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197709820077220,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197709820092740,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197710414410110,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197710414416990,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197710676014870,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197710676083430,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197710704011200,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197710704047030,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197710716006040,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197710716014790,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197711676010110,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197711676124690,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197711720009890,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197711720044800,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197711808009110,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197711808045960,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197711836007320,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197711836014480,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197711840007820,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197711840022370,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197712680009090,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197712680073020,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197712736010150,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197712736020580,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197712752009500,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197712752047000,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197712784009140,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197712784015780,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197712808010070,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197712808045920,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197713676014830,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197713676056540,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197713724007720,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197713724017570,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197713784010890,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197713784050830,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197713812011080,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197713812046360,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197714414410340,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197714414416770,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197714676008370,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197714676047180,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197714692009120,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197714692039040,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197714720007340,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197714720015950,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
put,197714820009330,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 ap1r1=0
load,197714820039440,791171,vcpu=1 cpu=342 ap1r0=8000000000000000 (shadow already dirty)
