event,ns,tid,note
arm,170951099062910,447981,wfi=10000
entry,170951099075390,447981,seq=1 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099079670,447981,seq=2 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099082440,447981,seq=3 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099085080,447981,seq=4 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099087380,447981,seq=5 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099089720,447981,seq=6 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099092040,447981,seq=7 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099094320,447981,seq=8 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099096590,447981,seq=9 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099098890,447981,seq=10 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099101230,447981,seq=11 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099103550,447981,seq=12 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099105880,447981,seq=13 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099108220,447981,seq=14 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099110550,447981,seq=15 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099112860,447981,seq=16 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099115170,447981,seq=17 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099117480,447981,seq=18 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099119800,447981,seq=19 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099122140,447981,seq=20 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099124430,447981,seq=21 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099126980,447981,seq=22 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099129300,447981,seq=23 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099131600,447981,seq=24 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099133890,447981,seq=25 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099136200,447981,seq=26 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099138490,447981,seq=27 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099140820,447981,seq=28 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099143240,447981,seq=29 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099145580,447981,seq=30 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099148000,447981,seq=31 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099150340,447981,seq=32 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099152660,447981,seq=33 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099155280,447981,seq=34 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099158150,447981,seq=35 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099160470,447981,seq=36 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099163090,447981,seq=37 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099165700,447981,seq=38 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099168240,447981,seq=39 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099170870,447981,seq=40 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099173170,447981,seq=41 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099175770,447981,seq=42 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099178360,447981,seq=43 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099180920,447981,seq=44 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099183480,447981,seq=45 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099186040,447981,seq=46 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099188600,447981,seq=47 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099190920,447981,seq=48 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099193550,447981,seq=49 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099196180,447981,seq=50 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099198730,447981,seq=51 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099201280,447981,seq=52 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099203920,447981,seq=53 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099206470,447981,seq=54 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099208800,447981,seq=55 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099211320,447981,seq=56 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099213850,447981,seq=57 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099216360,447981,seq=58 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099218990,447981,seq=59 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
entry,170951099221270,447981,seq=60 pc=ffffb3bb75a7aab4 ps=414010c5 i=1 ulrs=5 vmcr=f04c000a lr0=70a0001b0000001b lr1=50a0000000002015 lr2=50a0000000000000 lr3=50a000000000201a
