label	remaining_run_sandboxes	remaining_run_shims	tap_ready	tap_links	tap_pool	tap_abnormal	tap_quarantined
1u-tpl-c72232c980e34baa8115d380-r1	0	0	1	1000	984	0	0
1u-tpl-c72232c980e34baa8115d380-r2	0	0	1	1000	984	0	0
1u-tpl-c72232c980e34baa8115d380-r3	0	0	1	1000	984	0	0
1u-tpl-c72232c980e34baa8115d380-r4	0	0	1	1000	984	0	0
1u-tpl-c72232c980e34baa8115d380-r5	0	0	1	1000	984	0	0
1u-tpl-c72232c980e34baa8115d380-r6	0	0	1	1000	984	0	0
1u-tpl-08b4c6aa2c4a428599909f36-r1	0	0	1	1000	984	0	0
1u-tpl-08b4c6aa2c4a428599909f36-r2	0	0	1	1000	984	0	0
1u-tpl-08b4c6aa2c4a428599909f36-r3	0	0	1	1000	984	0	0
1u-tpl-08b4c6aa2c4a428599909f36-r4	0	0	1	1000	984	0	0
1u-tpl-08b4c6aa2c4a428599909f36-r5	0	0	1	1000	984	0	0
1u-tpl-08b4c6aa2c4a428599909f36-r6	0	0	1	1000	984	0	0
1u-tpl-88fbbfff787b4a598f68a3a5-r1	0	0	1	1000	984	0	0
1u-tpl-88fbbfff787b4a598f68a3a5-r2	0	0	1	1000	984	0	0
1u-tpl-88fbbfff787b4a598f68a3a5-r3	0	0	1	1000	984	0	0
1u-tpl-88fbbfff787b4a598f68a3a5-r4	0	0	1	1000	984	0	0
1u-tpl-88fbbfff787b4a598f68a3a5-r5	0	0	1	1000	984	0	0
1u-tpl-88fbbfff787b4a598f68a3a5-r6	0	0	1	1000	984	0	0
1u-tpl-a8671dd44f47451faa0f7556-r1	0	0	1	1000	984	0	0
1u-tpl-a8671dd44f47451faa0f7556-r2	0	0	1	1000	984	0	0
1u-tpl-a8671dd44f47451faa0f7556-r3	0	0	1	1000	984	0	0
1u-tpl-a8671dd44f47451faa0f7556-r4	0	0	1	1000	984	0	0
1u-tpl-a8671dd44f47451faa0f7556-r5	0	0	1	1000	984	0	0
1u-tpl-a8671dd44f47451faa0f7556-r6	0	0	1	1000	984	0	0
1u-tpl-220d50f73b8e4d7ba75aebb8-r1	0	0	1	1000	984	0	0
1u-tpl-220d50f73b8e4d7ba75aebb8-r2	0	0	1	1000	984	0	0
1u-tpl-220d50f73b8e4d7ba75aebb8-r3	0	0	1	1000	984	0	0
1u-tpl-220d50f73b8e4d7ba75aebb8-r4	0	0	1	1000	984	0	0
1u-tpl-220d50f73b8e4d7ba75aebb8-r5	0	0	1	1000	984	0	0
1u-tpl-220d50f73b8e4d7ba75aebb8-r6	0	0	1	1000	984	0	0
2u-tpl-df5225981b9f4304bc9cc055-r1	0	0	1	1000	984	0	0
2u-tpl-df5225981b9f4304bc9cc055-r2	0	0	1	1000	984	0	0
2u-tpl-df5225981b9f4304bc9cc055-r3	0	0	1	1000	984	0	0
