cpu_unit	template_id	total	pass	fail	old_reset_guest_time	vm_boot_failed	reset_reseed_failed	resource_exhausted	timeout	transport	other
1	tpl-c72232c980e34baa8115d380	300	300	0	0	0	0	0	0	0	0
1	tpl-08b4c6aa2c4a428599909f36	300	300	0	0	0	0	0	0	0	0
1	tpl-88fbbfff787b4a598f68a3a5	300	300	0	0	0	0	0	0	0	0
1	tpl-a8671dd44f47451faa0f7556	300	300	0	0	0	0	0	0	0	0
1	tpl-220d50f73b8e4d7ba75aebb8	300	300	0	0	0	0	0	0	0	0
2	tpl-df5225981b9f4304bc9cc055	300	300	0	0	0	0	0	0	0	0
2	tpl-c913ed48ab5f4813b3628546	300	300	0	0	0	0	0	0	0	0
2	tpl-5b07eb1c7c2b405a9979b6bb	300	300	0	0	0	0	0	0	0	0
2	tpl-84ed2cde8b554cb591e4b825	300	300	0	0	0	0	0	0	0	0
2	tpl-a950b47b1f414306998e6baa	300	300	0	0	0	0	0	0	0	0
3	tpl-1e61913c830f401ea57acf62	300	300	0	0	0	0	0	0	0	0
3	tpl-0c7fdf487d56413280224e0b	300	300	0	0	0	0	0	0	0	0
3	tpl-e9cc8f3f845a4f7fb1117dc4	300	300	0	0	0	0	0	0	0	0
3	tpl-6c6aea065a9348f984f2424f	300	300	0	0	0	0	0	0	0	0
3	tpl-0e55827a37ab4058849ff182	300	300	0	0	0	0	0	0	0	0
4	tpl-3963006c91d84baaba4aea43	300	300	0	0	0	0	0	0	0	0
4	tpl-8d2ed1c6017b4901af66d7b0	300	300	0	0	0	0	0	0	0	0
4	tpl-90522c835ea844c6a46ce9fa	300	300	0	0	0	0	0	0	0	0
4	tpl-cfd915a64e2d49808f0ef4b9	300	300	0	0	0	0	0	0	0	0
4	tpl-1aff9e6994f7410f829c8fb0	300	300	0	0	0	0	0	0	0	0
5	tpl-1883ff0a2e464b418f0e2846	300	300	0	0	0	0	0	0	0	0
5	tpl-ade04ca479b84695a469e0cc	300	300	0	0	0	0	0	0	0	0
5	tpl-3317a8932e1149d38ab7cb28	300	300	0	0	0	0	0	0	0	0
5	tpl-708865c050514494ba15cb11	300	300	0	0	0	0	0	0	0	0
5	tpl-a4ebde2bc0344f0a9d7a4f14	300	300	0	0	0	0	0	0	0	0
