cpu_unit	cpu_millicores	memory_mb	template_index	template_id	status	error
1	1000	2000	1	tpl-c72232c980e34baa8115d380	READY	
1	1000	2000	2	tpl-08b4c6aa2c4a428599909f36	READY	
1	1000	2000	3	tpl-88fbbfff787b4a598f68a3a5	READY	
1	1000	2000	4	tpl-a8671dd44f47451faa0f7556	READY	
1	1000	2000	5	tpl-220d50f73b8e4d7ba75aebb8	READY	
2	2000	2000	1	tpl-df5225981b9f4304bc9cc055	READY	
2	2000	2000	2	tpl-c913ed48ab5f4813b3628546	READY	
2	2000	2000	3	tpl-5b07eb1c7c2b405a9979b6bb	READY	
2	2000	2000	4	tpl-84ed2cde8b554cb591e4b825	READY	
2	2000	2000	5	tpl-a950b47b1f414306998e6baa	READY	
3	3000	2000	1	tpl-1e61913c830f401ea57acf62	READY	
3	3000	2000	2	tpl-0c7fdf487d56413280224e0b	READY	
3	3000	2000	3	tpl-e9cc8f3f845a4f7fb1117dc4	READY	
3	3000	2000	4	tpl-6c6aea065a9348f984f2424f	READY	
3	3000	2000	5	tpl-0e55827a37ab4058849ff182	READY	
4	4000	2000	1	tpl-3963006c91d84baaba4aea43	READY	
4	4000	2000	2	tpl-8d2ed1c6017b4901af66d7b0	READY	
4	4000	2000	3	tpl-90522c835ea844c6a46ce9fa	READY	
4	4000	2000	4	tpl-cfd915a64e2d49808f0ef4b9	READY	
4	4000	2000	5	tpl-1aff9e6994f7410f829c8fb0	READY	
5	5000	2000	1	tpl-1883ff0a2e464b418f0e2846	READY	
5	5000	2000	2	tpl-ade04ca479b84695a469e0cc	READY	
5	5000	2000	3	tpl-3317a8932e1149d38ab7cb28	READY	
5	5000	2000	4	tpl-708865c050514494ba15cb11	READY	
5	5000	2000	5	tpl-a4ebde2bc0344f0a9d7a4f14	READY	
